编号	类名	名字	道具图标	是否能使用	概述	详细描述	品质	包裹排序	道具类型(1:普通道具；2：数值类道具；3：固定奖励礼包；4：随机奖励礼包；5：更名令及钥匙；6：装备等碎片)	可使用次数	消失条件（1 可使用次数为 0 则消失， 2 可使用次数为 0 不消失）	叠加限制	等级需求下限	使用音效	effect1	effect2	effect3（1怪物,2npc）	effect4	effect5	effect6
12100056	item.GrowBag	680礼包	libao3	1	活动期间累计充值680金币可获得	活动期间累计充值680金币可获得	4	2;4;40	3	1	1	9999	1	audio	1300014_1;11000005_40;11000008_40;13000002_2000000;24400004_1;24400006_1	-1	-1	-1	-1	-1
12100057	item.GrowBag	3280礼包	libao4	1	活动期间累计充值3280金币可获得	活动期间累计充值3280金币可获得	4	2;4;41	3	1	1	9999	1	audio	4400001_1;4400013_1;11000005_40;13000002_5000000;24400004_2;24400006_2	-1	-1	-1	-1	-1
12100058	item.GrowBag	6480礼包	libao5	1	活动期间累计充值6480金币可获得	活动期间累计充值6480金币可获得	4	2;4;42	3	1	1	9999	1	audio	2400004_1;3400010_1;3400012_1;11000008_40;13000002_10000000;24400004_3;24400005_2;24400006_3	-1	-1	-1	-1	-1
12100059	item.GrowBag	12960礼包	libao6	1	活动期间累计充值12960金币可获得	活动期间累计充值12960金币可获得	4	2;4;43	3	1	1	9999	1	audio	1500009_1;5400002_1;13000002_20000000;24400004_6;24400005_5;24400006_6	-1	-1	-1	-1	-1
24400006	item.RandomGet	宇智波斑兑换券	24400001	1	集齐36张可以兑换宇智波斑	集齐36张可以兑换宇智波斑	4	1;6;11	1	-1	-1	9999	1	audio	-1	-1	24400006;35	-1	ban	-1
12100060	item.GrowBag	680礼包	libao3	1	活动期间累计充值680金币可获得	活动期间累计充值680金币可获得	4	2;4;44	3	1	1	9999	1	audio	3400005_1;11000005_40;11000008_40;24400004_1;24400006_1;13000002_2000000;13000001_680	-1	-1	-1	-1	-1
12100061	item.GrowBag	3280礼包	libao4	1	活动期间累计充值3280金币可获得	活动期间累计充值3280金币可获得	4	2;4;45	3	1	1	9999	1	audio	4400002_1;14400003_20;11000005_40;24400004_2;24400006_2;13000002_5000000;13000001_1640	-1	-1	-1	-1	-1
12100062	item.GrowBag	6480礼包	libao5	1	活动期间累计充值6480金币可获得	活动期间累计充值6480金币可获得	4	2;4;46	3	1	1	9999	1	audio	2400014_1;1500009_1;11000008_40;24400004_3;24400005_2;24400006_3;13000002_10000000;13000001_3280	-1	-1	-1	-1	-1
12100063	item.GrowBag	12960礼包	libao6	1	活动期间累计充值12960金币可获得	活动期间累计充值12960金币可获得	4	2;4;47	3	1	1	9999	1	audio	5400013_1;1400007_1;24400005_3;24400006_6;13000002_20000000;13000001_6480	-1	-1	-1	-1	-1
12100064	item.GrowBag	680礼包	libao3	1	活动期间累计充值680金币可获得	活动期间累计充值680金币可获得	4	2;4;48	3	1	1	9999	1	audio	3400012_1;11000005_40;11000008_40;24400006_1;24400004_5;24400005_1;13000002_2000000;13000001_680	-1	-1	-1	-1	-1
12100065	item.GrowBag	3280礼包	libao4	1	活动期间累计充值3280金币可获得	活动期间累计充值3280金币可获得	4	2;4;49	3	1	1	9999	1	audio	4400002_1;2400004_1;11000005_40;24400004_5;24400006_2;24400005_1;13000002_5000000;13000001_1640	-1	-1	-1	-1	-1
12100066	item.GrowBag	6480礼包	libao5	1	活动期间累计充值6480金币可获得	活动期间累计充值6480金币可获得	4	2;4;50	3	1	1	9999	1	audio	2400014_1;3400005_1;5400002_1;11000008_40;24400004_5;24400005_4;24400006_3;13000002_10000000;13000001_3280	-1	-1	-1	-1	-1
12100067	item.GrowBag	12960礼包	libao6	1	活动期间累计充值12960金币可获得	活动期间累计充值12960金币可获得	4	2;4;51	3	1	1	9999	1	audio	5400013_1;1400007_1;1500009_1;500012_1;24400005_6;24400006_6;13000002_20000000;13000001_6480	-1	-1	-1	-1	-1
12200052	item.GrowBag	火影助威包	libao3	1	活动期间2980金币可购买	青梅竹马包只在七夕活动期间出现	4	2;5;31	3	1	1	9999	1	audio	1400010_1;2400012_1;3400010_1;4400001_1;5400012_1;11000011_200	-1	-1	-1	-1	-1
12200053	item.GrowBag	限时神将包	libao4	1	活动期间16980金币可购买	乱世之恋包只在七夕活动期间出现	4	2;5;32	3	1	1	9999	1	audio	10004_1;1400009_1;4400005_1;800002_1;11000011_500;13000002_20000000	-1	-1	-1	-1	-1
12100068	item.GrowBag	680礼包	libao3	1	活动期间累计充值680金币可获得	活动期间累计充值680金币可获得	4	2;4;52	3	1	1	9999	1	audio	5400002_1;11000005_40;11000008_40;24400006_1;24400005_2;13000002_2000000;13000001_680	-1	-1	-1	-1	-1
12100069	item.GrowBag	3280礼包	libao4	1	活动期间累计充值3280金币可获得	活动期间累计充值3280金币可获得	4	2;4;53	3	1	1	9999	1	audio	3400005_1;2400004_1;11000005_40;24400005_3;24400006_2;13000002_5000000;13000001_1640	-1	-1	-1	-1	-1
12100070	item.GrowBag	6480礼包	libao5	1	活动期间累计充值6480金币可获得	活动期间累计充值6480金币可获得	4	2;4;54	3	1	1	9999	1	audio	2400014_1;1500009_1;14400003_20;11000008_40;24400005_5;24400006_3;13000002_10000000;13000001_3280	-1	-1	-1	-1	-1
12100071	item.GrowBag	12960礼包	libao6	1	活动期间累计充值12960金币可获得	活动期间累计充值12960金币可获得	4	2;4;55	3	1	1	9999	1	audio	5400013_1;1400007_1;4400002_1;500012_1;24400005_6;24400006_6;13000002_20000000;13000001_6480	-1	-1	-1	-1	-1
12100072	item.GrowBag	300礼包	libao3	1	活动期间累计充值300金币可获得	活动期间累计充值300金币可获得	4	2;4;56	3	1	1	9999	1	audio	14400003_15;24400004_3;24400005_1;11000004_5;13000002_1000000	-1	-1	-1	-1	-1
12100073	item.GrowBag	980礼包	libao4	1	活动期间累计充值980金币可获得	活动期间累计充值980金币可获得	4	2;4;57	3	1	1	9999	1	audio	3400010_1;11000008_50;11000005_50;24400005_3;24400006_2;13000002_2000000;13000001_680	-1	-1	-1	-1	-1
12100074	item.GrowBag	1980礼包	libao5	1	活动期间累计充值1980金币可获得	活动期间累计充值1980金币可获得	4	2;4;58	3	1	1	9999	1	audio	2400004_1;3400005_1;430006_1;24400006_2;24400005_3;13000002_5000000;13000001_990	-1	-1	-1	-1	-1
12100075	item.GrowBag	6480礼包	libao6	1	活动期间累计充值6480金币可获得	活动期间累计充值6480金币可获得	4	2;4;59	3	1	1	9999	1	audio	2400014_1;1400007_1;4400002_1;14400003_20;24400005_5;24400006_3;13000002_10000000;13000001_3280	-1	-1	-1	-1	-1
12200011	item.GrowBag	第1名奖励	libao3	1	充值活动第1名奖励	充值活动时间内达到限定额度所获得的礼包	4	2;4;36	3	1	1	9999	1	audio	800030_1;13000002_10000000;11000011_200	-1	-1	-1	-1	-1
12200012	item.GrowBag	第2名奖励	libao3	1	充值活动第2名奖励	充值活动时间内达到限定额度所获得的礼包	4	2;4;36	3	1	1	9999	1	audio	800030_1;13000002_9000000;11000011_200	-1	-1	-1	-1	-1
12200013	item.GrowBag	第3名奖励	libao3	1	充值活动第3名奖励	充值活动时间内达到限定额度所获得的礼包	4	2;4;36	3	1	1	9999	1	audio	800030_1;13000002_8000000;11000011_200	-1	-1	-1	-1	-1
12200014	item.GrowBag	第4名奖励	libao3	1	充值活动第4名奖励	充值活动时间内达到相应排名所获得的礼包	4	2;4;36	3	1	1	9999	1	audio	800030_1;13000002_7000000;11000011_200	-1	-1	-1	-1	-1
12200015	item.GrowBag	第5名奖励	libao3	1	充值活动第5名奖励	充值活动时间内达到相应排名所获得的礼包	4	2;4;36	3	1	1	9999	1	audio	800030_1;13000002_6000000;11000011_200	-1	-1	-1	-1	-1
12200016	item.GrowBag	第6名奖励	libao3	1	充值活动第6名奖励	充值活动时间内达到相应排名所获得的礼包	4	2;4;36	3	1	1	9999	1	audio	13000004_50000;13000002_3000000;11000011_100	-1	-1	-1	-1	-1
12200017	item.GrowBag	第7名奖励	libao3	1	充值活动第7名奖励	充值活动时间内达到相应排名所获得的礼包	4	2;4;36	3	1	1	9999	1	audio	13000004_50000;13000002_3000000;11000011_100	-1	-1	-1	-1	-1
12200018	item.GrowBag	第8名奖励	libao3	1	充值活动第8名奖励	充值活动时间内达到相应排名所获得的礼包	4	2;4;36	3	1	1	9999	1	audio	13000004_50000;13000002_3000000;11000011_100	-1	-1	-1	-1	-1
12200019	item.GrowBag	第9名奖励	libao3	1	充值活动第9名奖励	充值活动时间内达到相应排名所获得的礼包	4	2;4;36	3	1	1	9999	1	audio	13000004_50000;13000002_3000000;11000011_100	-1	-1	-1	-1	-1
12200020	item.GrowBag	第10名奖励	libao3	1	充值活动第10名奖励	充值活动时间内达到相应排名所获得的礼包	4	2;4;36	3	1	1	9999	1	audio	13000004_50000;13000002_3000000;11000011_100	-1	-1	-1	-1	-1
