缘分ID	缘分名	缘分类型（5弟子缘分 7装备缘分 6技能缘分 4阵法缘分）	达成条件	属性加成
13161	忍道传承	5	10012;10017	baseHpPerAdd:0.13
13162	不避佩恩	6	420006	baseShanBiAdd:42
13163	中忍足具	7	5200009	baseBaoJiAdd:35
13164	音忍三人组	5	10124;10125;10126	baseBaoJiAdd:45
13165	一合之敌	5	10125;10010	baseWuLiPerAdd:0.15
13166	手下败将	5	10126;10046	baseShenFaPerAdd:0.16
13167	暴露弱点	5	10124;10063	baseNeiLiPerAdd:0.16
13168	有意思的考生	5	10127;10041	baseNeiLiPerAdd:0.16
13169	拷问无果	5	10127;10111	baseShenFaPerAdd:0.13
13170	中忍考官	5	10127;10066	baseWuLiPerAdd:0.13
13171	家庭教师	5	10128;10087	baseNeiLiPerAdd:0.16
13172	影分身	6	500020	baseWuLiPerAdd:0.11
13173	无可奉告	5	10128;10107	baseMingZhongAdd:45
13174	改变偏见	5	10128;10041	baseNeiLiPerAdd:0.16
13175	第一反派	5	10129;10041	baseWuLiPerAdd:0.13
13176	羡慕嫉妒恨	5	10129;10085	baseNeiLiPerAdd:0.16
13177	最终一战	6	330010	baseShenFaPerAdd:0.13
13178	三忍之名	5	10030;10012	baseWuLiPerAdd:0.17
13179	武士之道	5	10030;10135	baseShenFaPerAdd:0.2
13180	无常之刃	7	1300002	baseWuLiPerAdd:0.11
13181	无声无息	7	5300001	baseNeiLiPerAdd:0.13
13182	最后的教诲	5	10013;10017;10031	baseWuLiPerAdd:0.25
13183	特种武器	7	1400014	baseShenFaPerAdd:0.13
13184	传奇武器	7	1400003	baseWuLiPerAdd:0.13
13185	控制心智	5	10135;10031	baseShenFaPerAdd:0.19
13186	意义深远	7	2400015	baseWuLiPerAdd:0.14
13187	追击	5	10135;10006	baseMingZhongAdd:56
13188	联军足具	7	5400015	baseNeiLiPerAdd:0.2
13189	各怀鬼胎	5	10025;10040;10002	baseWuLiPerAdd:0.31
13190	母子反目	5	10000;10130	baseNeiLiPerAdd:0.29
13191	遗计复生	5	10025;10130	baseShenFaPerAdd:0.23
13192	刷boss拖稿费	5	10130;10140;10141	baseWuLiPerAdd:0.48
13193	互相利用	5	10142;10143	baseNeiLiPerAdd:0.17
13195	久别重逢	5	10137;10144	baseWuLiPerAdd:0.23
13197	对决	5	10141;10138	baseWuLiPerAdd:0.16
13198	摆脱控制	5	10142;10004	baseWuLiPerAdd:0.15
13199	重拾自我	5	10142;10006	baseNeiLiPerAdd:0.19
13200	夺取左眼	5	10140;10138	baseNeiLiPerAdd:0.17
13201	死斗	5	10140;10020	baseWuLiPerAdd:0.16
13202	复原左眼	5	10138;10001	baseNeiLiPerAdd:0.17
13203	识破幻术	5	10141;10006	baseWuLiPerAdd:0.16
13204	父子风影	5	10134;10139	baseNeiLiPerAdd:0.17
13205	激战封印	5	10139;10132;10133	baseShenFaPerAdd:0.32
13206	羁绊	5	10015;10001	baseNeiLiPerAdd:0.17
13207	雷传	6	330009	baseNeiLiPerAdd:0.12
13208	前辈的赞赏	5	10133;10139	baseShenFaPerAdd:0.17
13209	复生四影	5	10123;10132;10133;10134	baseWuLiPerAdd:0.36
13210	白眼	6	500019	baseHpPerAdd:0.14
13211	仙人之姿	7	3400011	baseFangYuPerAdd:0.2
13212	当年弟子	6	10132;10016	baseNeiLiPerAdd:0.13
13213	二代土影	7	2400010	baseWuLiPerAdd:0.13
13214	同归于尽	5	10132;10133	baseShenFaPerAdd:0.17
13215	其名风影	7	2400008	baseNeiLiPerAdd:0.14
13216	水之影	5	10133;10019	baseHuiXinAdd:64
13217	身份象征	7	5400011	baseShenFaPerAdd:0.13
13218	凶手	5	10134;10009	baseNeiLiPerAdd:0.16
13219	成名之技	6	410016	baseHuiXinAdd:66
13220	亲热天堂	7	1400002	baseWuLiPerAdd:0.11
13221	联军战将	7	2400015	baseWuLiPerAdd:0.13
13222	联军象征	7	5400015	baseNeiLiPerAdd:0.12
13223	永恒万花筒	6	500035	baseShenFaPerAdd:0.15
13224	成败此剑	7	1300014	baseNeiLiPerAdd:0.12
13225	大蛇之容	6	410000	baseWuLiPerAdd:0.1
13226	大蛇传承	6	900003	baseHuiXinAdd:67
13227	幕后首脑	7	2300016	baseFangYuPerAdd:0.13
13228	万花筒写轮眼	6	500035	baseNeiLiPerAdd:0.15
13229	神威	6	500017	baseShanBiAdd:42
13230	阿飞？带土？	7	4400005	baseHpPerAdd:0.12
13231	年少之时	7	3300010	baseWuLiPerAdd:0.12
13232	护手绷带	7	4400002	baseWuLiPerAdd:0.12
13233	导师	5	10007;10137	baseShenFaPerAdd:0.16
13234	歧途	5	10144;10002	baseShenFaPerAdd:0.16
13235	最后的馈赠	6	500035	baseNeiLiPerAdd:0.13
13236	目睹未来	6	500035	baseNeiLiPerAdd:0.13
13237	相像	5	10144;10001	baseWuLiPerAdd:0.16
13238	火影（七代目）	5	10137;10001	baseWuLiPerAdd:0.16
13239	正面交锋	5	10116;10075	baseWuLiPerAdd:0.16
13240	目睹异变	5	10116;10041	baseNeiLiPerAdd:0.19
13241	反抗的意志	5	10131;10116	baseHuiXinAdd:0.17
13242	代理队长	5	10136;10038	baseWuLiPerAdd:0.17
13243	压制尾兽	5	10136;10041	baseBaoJiAdd:55
13244	树界降临	6	430015	baseWuLiPerAdd:0.13
13245	生存之道	5	10131;10009	baseWuLiPerAdd:0.16
13246	对决	5	10131;10018	baseNeiLiPerAdd:0.19
13247	医疗忍术	6	230000	baseBaoJiAdd:55
13248	福祸难明	5	10143;10002	baseNeiLiPerAdd:0.18
