英雄ID	英雄名称	形象ID	品质	等级	默认武学ID；等级	性别（1：男；2：女）	气血	武力	内力	身法	防御	命中	闪避	暴击	抗暴	会心	武学释放概率	武学破坏力百分比	被攻击时化解概率	化解时减伤伤害	攻击时被化解概率	被化解时损失伤害	初始金刚	初始无序	初始反击	普通攻击效果	普通攻击帧频
100372	上忍	guai4	1	130	320002;3	1	4823	1735	2042	2578	1395	109	156	109	156	156	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100373	上忍	guai3	1	130	320006;3	2	4823	1734	2042	2578	1395	109	156	109	156	156	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100374	上忍	guai4	1	130	320010;3	1	4823	1733	2042	2578	1395	109	156	109	156	156	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100375	畜生道	chushengdao	1	133	320003;3	2	4929	1772	2088	2633	1425	111	159	111	159	159	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100376	上忍	guai3	1	133	320004;3	1	4929	1773	2088	2633	1425	111	159	111	159	159	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100377	上忍	guai4	1	133	320010;3	2	4929	1772	2088	2633	1425	111	159	111	159	159	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100378	上忍	guai3	1	135	320009;3	1	4999	1798	2118	2670	1445	112	161	112	161	161	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100379	上忍	guai4	1	140	320007;3	2	5176	1861	2194	2761	1495	116	167	116	167	167	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100380	上忍	guai3	1	140	320002;3	1	5176	1861	2194	2761	1495	116	167	116	167	167	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100381	上忍	guai4	1	140	320008;3	2	5176	1862	2194	2761	1495	116	167	116	167	167	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100382	上忍	guai3	1	140	320004;3	1	5176	1861	2194	2761	1495	116	167	116	167	167	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100383	上忍	guai4	1	140	320000;3	2	5176	1861	2194	2761	1495	116	167	116	167	167	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100384	上忍	guai3	1	140	320010;3	1	5176	1862	2194	2761	1495	116	167	116	167	167	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100385	上忍	guai4	1	140	320001;3	2	5176	1861	2194	2761	1495	116	167	116	167	167	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100386	上忍	guai3	1	140	320001;3	1	5176	1862	2194	2761	1495	116	167	116	167	167	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100387	上忍	guai4	1	143	320004;3	2	5282	1900	2240	2816	1525	118	170	118	170	170	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100388	上忍	guai3	1	143	320004;3	1	5282	1900	2240	2816	1525	118	170	118	170	170	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100389	上忍	guai4	1	143	320007;3	2	5282	1899	2240	2816	1525	118	170	118	170	170	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100390	上忍	guai3	1	143	320002;3	1	5282	1900	2240	2816	1525	118	170	118	170	170	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100391	上忍	guai4	1	150	320008;3	2	5530	1988	2346	2945	1595	124	178	124	178	178	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100392	上忍	guai3	1	150	320010;3	1	5530	1988	2346	2945	1595	124	178	124	178	178	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100393	上忍	guai4	1	150	320011;3	2	5530	1987	2346	2945	1595	124	178	124	178	178	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100394	上忍	guai3	1	150	320007;3	1	5530	1987	2346	2945	1595	124	178	124	178	178	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100395	上忍	guai4	1	150	320011;3	2	5530	1987	2346	2945	1595	124	178	124	178	178	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100396	上忍	guai3	1	150	320007;3	1	5530	1987	2346	2945	1595	124	178	124	178	178	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100397	上忍	guai4	1	150	320006;3	2	5530	1987	2346	2945	1595	124	178	124	178	178	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100398	上忍	guai3	1	150	320007;3	1	5530	1988	2346	2945	1595	124	178	124	178	178	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100399	上忍	guai4	1	153	320000;4	2	5636	2024	2392	3000	1625	127	182	127	182	182	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100400	上忍	guai3	1	153	320002;4	1	5636	2026	2392	3000	1625	127	182	127	182	182	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100401	上忍	guai4	1	153	320005;4	2	5636	2024	2392	3000	1625	127	182	127	182	182	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100402	上忍	guai3	1	153	320011;4	1	5636	2025	2392	3000	1625	127	182	127	182	182	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100403	上忍	guai4	1	155	320004;4	2	5706	2050	2422	3037	1645	128	184	128	184	184	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100404	上忍	guai3	1	155	320008;4	1	5706	2050	2422	3037	1645	128	184	128	184	184	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100405	上忍	guai4	1	160	320000;4	2	5883	2115	2498	3128	1695	133	190	133	190	190	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100406	上忍	guai3	1	160	320009;4	1	5883	2114	2498	3128	1695	133	190	133	190	190	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100407	上忍	guai4	1	160	320007;4	2	5883	2115	2498	3128	1695	133	190	133	190	190	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100408	上忍	guai3	1	160	320007;4	1	5883	2114	2498	3128	1695	133	190	133	190	190	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100409	上忍	guai4	1	160	320001;4	2	5883	2113	2498	3128	1695	133	190	133	190	190	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100410	上忍	guai3	1	160	320010;4	1	5883	2113	2498	3128	1695	133	190	133	190	190	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100411	上忍	guai4	1	160	320002;4	2	5883	2114	2498	3128	1695	133	190	133	190	190	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100412	上忍	guai3	1	160	320007;4	1	5883	2113	2498	3128	1695	133	190	133	190	190	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100413	上忍	guai4	1	160	320005;4	2	5883	2115	2498	3128	1695	133	190	133	190	190	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100414	上忍	guai3	1	160	320004;4	1	5883	2114	2498	3128	1695	133	190	133	190	190	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100415	上忍	guai4	1	163	320007;4	2	5989	2153	2544	3183	1725	135	193	135	193	193	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100416	上忍	guai3	1	163	320011;4	1	5989	2153	2544	3183	1725	135	193	135	193	193	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100417	上忍	guai4	1	163	320004;4	2	5989	2151	2544	3183	1725	135	193	135	193	193	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100418	上忍	guai3	1	163	320003;4	1	5989	2152	2544	3183	1725	135	193	135	193	193	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100419	上忍	guai4	1	163	320005;4	2	5989	2152	2544	3183	1725	135	193	135	193	193	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100420	上忍	guai3	1	170	320008;4	1	6237	2241	2650	3312	1795	140	201	140	201	201	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100421	上忍	guai4	1	170	320005;4	2	6237	2239	2650	3312	1795	140	201	140	201	201	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100422	上忍	guai3	1	170	320011;4	1	6237	2240	2650	3312	1795	140	201	140	201	201	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100423	上忍	guai4	1	170	320005;4	2	6237	2239	2650	3312	1795	140	201	140	201	201	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100424	上忍	guai3	1	170	320007;4	1	12474	4478	2650	3312	3590	140	201	140	201	201	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100425	上忍	guai4	1	170	320002;4	2	6237	2240	2650	3312	1795	140	201	140	201	201	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100426	上忍	guai3	1	170	320005;4	1	6237	2240	2650	3312	1795	140	201	140	201	201	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100427	上忍	guai4	1	170	320006;4	2	6237	2241	2650	3312	1795	140	201	140	201	201	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100428	上忍	guai3	1	170	320003;4	1	6237	2239	2650	3312	1795	140	201	140	201	201	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100429	上忍	guai4	1	170	320011;4	2	6237	2240	2650	3312	1795	140	201	140	201	201	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100430	上忍	guai3	1	170	320005;4	1	6237	2240	2650	3312	1795	140	201	140	201	201	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100431	上忍	guai4	1	173	320003;4	2	6343	2279	2696	3367	1825	142	204	142	204	204	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100432	上忍	guai3	1	173	320002;4	1	6343	2278	2696	3367	1825	142	204	142	204	204	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100433	上忍	guai4	1	173	320003;4	2	6343	2278	2696	3367	1825	142	204	142	204	204	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100434	上忍	guai3	1	173	320000;4	1	6343	2279	2696	3367	1825	142	204	142	204	204	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100435	上忍	guai4	1	173	320001;4	2	6343	2277	2696	3367	1825	142	204	142	204	204	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100436	三代雷影	huoying	1	175	320011;4	1	12826	4610	2726	3404	3690	144	206	144	206	206	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100437	上忍	guai3	1	175	320008;4	2	6413	2303	2726	3404	1845	144	206	144	206	206	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100438	上忍	guai4	1	175	320011;4	1	6413	2303	2726	3404	1845	144	206	144	206	206	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100439	上忍	guai3	1	178	320006;4	2	6519	2342	2772	3459	1875	147	210	147	210	210	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100440	上忍	guai4	1	178	320001;4	1	6519	2343	2772	3459	1875	147	210	147	210	210	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100441	上忍	guai3	1	178	320011;4	2	6519	2341	2772	3459	1875	147	210	147	210	210	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100442	上忍	guai4	1	178	320004;4	1	6519	2342	2772	3459	1875	147	210	147	210	210	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100443	上忍	guai3	1	178	320006;4	2	6519	2341	2772	3459	1875	147	210	147	210	210	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100444	宇智波带土	yuzhibodaitu	1	178	320011;4	1	6519	2343	2772	3459	1875	147	210	147	210	210	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100445	上忍	guai4	1	178	320004;4	2	6519	2343	2772	3459	1875	147	210	147	210	210	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100446	木叶上忍	muyedizi	1	178	320007;4	1	6519	2342	2772	3459	1875	147	210	147	210	210	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100447	木叶中忍	muyedizi	1	1	200001;1	2	25	17	16	14	7	10	1	1	0	0	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100448	下忍	guai2	1	3	100001;1	1	33	24	21	19	9	11	1	2	0	0	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100449	下忍	guai2	1	4	300001;1	2	38	27	24	21	10	12	1	3	0	0	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100450	小樱	xiaoying	1	4	800005;1	1	38	26	24	21	10	12	1	3	0	0	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100451	鸣人	ningren	1	5	800004;1	2	43	30	27	24	12	12	1	3	0	0	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100452	雾忍叛忍	wuyincundizi	1	6	100002;1	1	48	32	31	27	13	13	1	4	0	0	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100453	雾忍叛忍	wuyincundizi	1	8	100003;1	2	76	71	49	43	21	14	1	5	0	0	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100454	监考上忍	muyedizi	1	13	300002;1	1	105	100	68	60	30	16	1	7	0	0	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100455	草忍考生	wuyincundizi	1	13	300002;1	2	105	100	68	60	30	16	1	7	0	0	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100456	下忍考生	wuyincundizi	1	15	300002;1	1	223	114	119	71	35	17	1	8	0	0	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100457	金	jin	1	15	100003;1	2	223	177	119	71	35	17	1	8	0	0	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100458	下忍	guai5	1	20	100003;1	1	293	154	160	97	48	20	2	11	0	0	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100459	下忍	guai2	1	23	100001;1	2	339	179	186	115	57	21	2	12	0	0	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100460	下忍	guai5	1	23	100003;1	1	339	177	186	115	57	21	2	12	0	0	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100461	下忍	guai2	1	28	100002;1	2	420	222	234	147	73	24	2	15	0	0	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100462	下忍	guai5	1	30	100002;1	1	497	269	254	161	140	25	2	16	0	0	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100463	下忍	guai2	1	33	100002;1	2	547	297	281	178	153	26	2	17	0	0	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100464	下忍	guai5	1	35	300000;1	1	581	314	299	190	162	27	2	18	0	0	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100465	下忍	guai2	1	38	100002;1	2	626	339	346	324	174	29	2	20	0	0	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100466	下忍	guai5	1	38	200001;1	1	626	340	346	324	174	29	2	20	0	0	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100467	下忍	guai2	1	38	100003;1	2	626	341	346	324	174	29	2	20	0	0	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100468	下忍	guai5	1	40	100003;1	1	654	354	362	337	181	30	3	21	0	0	100	10	10	10	10	10	10	10	10	picture_8_pugong_shouji	10
100469	中忍	guai1	1	43	300002;1	2	695	375	385	357	192	31	3	22	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100470	中忍	guai6	1	45	100003;1	1	722	392	400	371	200	32	3	23	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100471	中忍	guai1	1	48	100003;1	2	764	414	423	391	211	34	3	25	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100472	中忍	guai6	1	48	100003;1	1	764	414	423	391	211	34	3	25	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100473	中忍	guai1	1	50	300003;1	2	791	428	439	404	218	35	3	26	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100474	中忍	guai6	1	53	300003;2	1	832	449	462	463	229	36	3	27	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100475	中忍	guai1	1	53	120003;2	2	832	448	462	463	229	36	3	27	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100476	中忍	guai6	1	55	200001;2	1	860	463	477	477	236	37	3	28	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100477	中忍	guai1	1	58	200002;2	2	901	487	500	499	247	39	3	30	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100478	中忍	guai6	1	60	100002;2	1	929	500	516	514	254	40	4	31	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100479	中忍	guai1	1	60	300002;2	2	929	501	516	514	254	40	4	31	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100480	中忍	guai6	1	63	100003;2	1	970	522	539	536	265	41	4	32	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100481	中忍	guai1	1	65	100003;2	2	997	536	554	551	273	42	4	33	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100482	中忍	guai6	1	68	300002;2	1	1039	559	577	572	284	44	4	35	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100483	中忍	guai1	1	70	300000;2	2	1066	573	593	587	291	45	4	36	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100484	中忍	guai6	1	70	100002;2	1	1066	574	593	587	291	45	4	36	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100485	中忍	guai1	1	73	200002;2	2	1108	596	616	609	302	46	4	37	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100486	中忍	guai6	1	70	200001;2	1	1066	572	593	587	291	45	4	36	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100487	中忍	guai1	1	75	300000;2	2	1135	609	631	624	309	47	4	38	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100488	中忍	guai6	1	75	100002;2	1	1135	610	631	624	309	47	4	38	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100489	中忍	guai1	1	80	300000;2	2	1204	645	670	660	327	50	5	41	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100490	中忍	guai6	1	83	300000;2	1	1245	669	693	682	338	51	5	42	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100491	中忍	guai1	1	85	300002;2	2	1273	683	708	697	346	52	5	43	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100492	中忍	guai6	1	88	300001;2	1	1314	704	731	719	357	54	5	45	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100493	中忍	guai1	1	90	300001;2	2	1341	718	747	733	364	55	5	46	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100494	中忍	guai6	1	93	300000;2	1	1383	741	770	755	375	56	5	47	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100495	中忍	guai1	1	93	100003;2	2	1383	740	770	755	375	56	5	47	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100496	中忍	guai6	1	93	200001;2	1	1383	742	770	755	375	56	5	47	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100497	中忍	guai1	1	95	200002;2	2	1410	756	785	770	382	57	5	48	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100498	中忍	guai6	1	95	100003;2	1	1410	757	785	770	382	57	5	48	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100499	中忍	guai1	1	98	200002;2	2	1451	779	808	792	393	59	5	50	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100500	中忍	guai6	1	98	100003;2	1	1451	777	808	792	393	59	5	50	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100501	中忍	guai1	1	100	100002;2	2	1479	791	824	806	400	60	6	51	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100502	中忍	guai6	1	100	200001;2	1	1479	792	824	806	400	60	6	51	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100503	中忍	guai1	1	103	300002;3	2	1520	813	847	828	411	61	6	52	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100504	中忍	guai6	1	105	200001;3	1	1548	830	862	843	419	62	6	53	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100505	上忍	guai4	1	110	200001;3	2	1731	902	953	938	473	65	6	56	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100506	上忍	guai3	1	113	200001;3	1	1776	926	977	961	485	66	6	57	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100507	上忍	guai4	1	115	200001;3	2	1805	940	993	977	493	67	6	58	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100508	上忍	guai3	1	120	100002;3	1	1879	977	1034	1016	513	70	7	61	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100509	上忍	guai4	1	120	300003;3	2	1879	978	1034	1016	513	70	7	61	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100510	上忍	guai3	1	120	300003;3	1	1879	977	1034	1016	513	70	7	61	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100511	上忍	guai4	1	120	100002;3	2	1879	978	1034	1016	513	70	7	61	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100512	上忍	guai3	1	120	300002;3	1	1879	978	1034	1016	513	70	7	61	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100513	上忍	guai4	1	120	100002;3	2	1879	978	1034	1016	513	70	7	61	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100514	上忍	guai3	1	120	300003;3	1	1879	979	1034	1016	513	70	7	61	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100515	上忍	guai4	1	120	300002;3	2	1879	977	1034	1016	513	70	7	61	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100516	上忍	guai3	1	120	300003;3	1	1879	978	1034	1016	513	70	7	61	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100517	上忍	guai4	1	120	100002;3	2	1879	979	1034	1016	513	70	7	61	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100518	上忍	guai3	1	123	100002;3	1	1923	1000	1059	1039	524	71	7	62	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100519	上忍	guai4	1	123	200003;3	2	1923	1002	1059	1039	524	71	7	62	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100520	上忍	guai3	1	123	100002;3	1	1923	1002	1059	1039	524	71	7	62	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100521	上忍	guai4	1	125	300003;3	2	1953	1016	1075	1055	532	72	7	63	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100522	上忍	guai3	1	125	200001;3	1	1953	1016	1075	1055	532	72	7	63	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100523	上忍	guai4	1	125	200001;3	2	1953	1015	1075	1055	532	72	7	63	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100524	上忍	guai3	1	125	200002;3	1	1953	1017	1075	1055	532	72	7	63	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100525	上忍	guai4	1	128	200002;3	2	1997	1038	1100	1078	544	74	7	65	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100526	上忍	guai3	1	130	200002;3	1	2027	1055	1116	1094	552	75	7	66	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100527	上忍	guai4	1	130	200002;3	2	2027	1053	1116	1094	552	75	7	66	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100528	上忍	guai3	1	130	200001;3	1	2027	1054	1116	1094	552	75	7	66	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100529	上忍	guai4	1	130	300002;3	2	2027	1054	1116	1094	552	75	7	66	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100530	上忍	guai3	1	130	100003;3	1	2027	1055	1116	1094	552	75	7	66	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100531	上忍	guai4	1	130	200000;3	2	2027	1053	1116	1094	552	75	7	66	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100532	上忍	guai3	1	130	100003;3	1	2027	1055	1116	1094	552	75	7	66	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100533	上忍	guai4	1	130	200000;3	2	2027	1053	1116	1094	552	75	7	66	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100534	上忍	guai3	1	130	100003;3	1	2027	1053	1116	1094	552	75	7	66	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100535	上忍	guai4	1	130	200000;3	2	2027	1053	1116	1094	552	75	7	66	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100536	上忍	guai3	1	130	100002;3	1	2027	1054	1116	1094	552	75	7	66	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100537	上忍	guai4	1	130	100002;3	2	2027	1054	1116	1094	552	75	7	66	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100538	上忍	guai3	1	133	200003;3	1	2071	1076	1140	1117	564	76	7	67	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100539	上忍	guai4	1	133	200002;3	2	2071	1076	1140	1117	564	76	7	67	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100540	上忍	guai3	1	133	200001;3	1	2071	1077	1140	1117	564	76	7	67	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100541	上忍	guai4	1	135	200002;3	2	2100	1093	1157	1133	572	77	7	68	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100542	上忍	guai3	1	135	100002;3	1	2100	1092	1157	1133	572	77	7	68	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100543	上忍	guai4	1	138	100003;3	2	2145	1114	1181	1156	584	79	7	70	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100544	上忍	guai3	1	140	300002;3	1	2174	1129	1198	1172	592	80	8	71	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100545	上忍	guai4	1	140	300002;3	2	2174	1131	1198	1172	592	80	8	71	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100546	上忍	guai3	1	140	100003;3	1	2174	1131	1198	1172	592	80	8	71	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
100547	上忍	guai4	1	140	300002;3	2	2174	1130	1198	1172	592	80	8	71	0	0	100	10	10	10	10	10	10	10	10	picture_6_lanse_shouji	8
