技能ID	技能名	技能图标	技能描述	品质（4甲 3乙 2丙 1丁）	技能等级上限	身价	技能类型（1:外功（体术）、2、内功（忍术）、3、轻功（幻术）、4、心法（密传））	技能类型（1、全体;2、单体、3横扫、4、溅射;5、贯穿）	外攻系数	内功系数	身法系数	初始伤害计算系数	属性加成	初始触发概率	天赋触发概率	触发概率上限	缘分名	缘分弟子	缘分加成	缘分触发概率增加	属性差影响触发武学系数	技能内置冷却（回合数）	出手动作路径类型（0：原地;1 到某一列前;2 到目标前;3 到敌方整体区域;4直跳;5斜跳）	出手动作ID	受击动作ID	发起特效播放类型（0：群体攻击的飞行特效(一对多);1：单体攻击（一对一）;2：召唤群攻斜45（一对多）;3：为召唤群攻90度（一对多）;4：有踢和打的感觉（多特效对一）5：单体攻击的加强版本（多特效对一目标））6:到敌方正中心	出手特效类型（1、增加显示特效;2为替换显示特效）	发起动作ID	技能升级经验	技能升级经验成长	技能携带经验	技能携带经验成长	技能效果图片	真气占用	技能残片数量	发起效类型（1、不隐藏;2隐藏）	飞行效类型（1、不隐藏;2隐藏）	受击效类型（1、不隐藏;2隐藏）	调用特效ID
330002	分身大爆破	jineng104	"具备本体的意识和性格以及一切查克拉属性,较易释放"	4	6	432;160	2	2	0	3	7	58;21.6	-1	43	43	43	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	400	280	136	95	-1	100	6	1	1	1	9330002
800003	大玉螺旋丸	jineng68	"比一般的螺旋丸巨大数倍，有两个人那么大，威力极强。只要炸裂，就可以轻易摧毁一座大山！,较易释放"	4	6	432;173	2	2	2	8	0	42;16.9	-1	44	44	44	-1	-1	-1	0	0	0	2	attack	attack	1	1	attack	400	280	136	95	-1	100	6	1	1	1	9800003
800004	超大玉螺旋丸	jineng69	比仙法·大玉螺旋丸更大，威力更强，较易释放	4	6	432;158	2	2	8	2	0	33;12.1	-1	44	44	44	-1	-1	-1	0	0	0	2	attack	attack	1	1	attack	400	280	136	95	-1	100	6	1	1	1	9800004
800006	肉弹战车	jineng10	让自己的身子膨胀，然后头和四肢缩进去，以惊人的破坏力攻击敌人，极易释放	2	6	192;113	2	2	3	7	0	9;5.3	-1	66	66	66	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	143	100	48	34	-1	25	3	1	1	1	9800006
800007	鸟兜	jineng16	"用花当手里剑攻击别人,极易释放"	2	6	192;75	2	2	3	7	0	12;4.7	-1	66	66	66	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	143	100	48	34	-1	25	3	1	1	1	9800007
800012	超兽伪画	jineng78	"佐井最强之术，将画在卷轴上的物体实体化的忍术,极易释放"	2	6	192;85	2	2	3	7	0	11;4.9	-1	66	66	66	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	143	100	48	34	-1	25	3	1	1	1	9800012
800023	灵魂吞噬	jineng132	"用手按住对方头部，并抽取灵魂,较难释放"	2	6	192;66	2	2	3	7	0	26;9	-1	33	33	33	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	143	100	48	34	-1	25	3	1	1	1	9800023
800024	怪腕火箭	jineng97	这是通过改造自己的肉体，将割开的腕部作为武器发射的术，较难释放	2	6	192;62	2	2	3	7	0	27;8.8	-1	33	33	33	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	143	100	48	34	-1	25	3	1	1	1	9800024
800025	吸术封印	jineng133	逆向回转体内的查克拉循环，吸入自己面前对手的术，较难释放	2	6	192;121	2	2	3	7	0	17;10.8	-1	33	33	33	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	143	100	48	34	-1	25	3	1	1	1	9800025
800026	判决	jineng95	"抓住对方的喉咙。然后召唤类似阎罗王的物体，对敌人进行审判,较难释放"	2	6	192;97	2	2	3	7	0	20;10.2	-1	33	33	33	-1	-1	-1	0	0	0	0	attack	attack	1	2	attack	143	100	48	34	-1	25	3	1	1	1	9800026
800028	仙人咒印	jineng47	"一但身处于自然查克拉较强的地域，就会出现发狂失控的精神变化，但是攻防会得到极大提升,较难释放"	2	6	192;66	2	2	3	7	0	26;9	-1	33	33	33	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	143	100	48	34	-1	25	3	1	1	1	9800028
800031	平目鲽解放	jineng153	形成查克拉聚集体，然后发出查克拉光球爆发出去，具有强大的破坏力，较难释放	2	6	192;80	2	2	3	7	0	23;9.6	-1	33	33	33	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	143	100	48	34	-1	25	3	1	1	1	9800031
500010	万般木遁	jineng66	"木遁的始祖独创的一类忍术,较易释放"	4	6	432;204	2	2	3	7	0	39;18.5	-1	40	40	40	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	400	280	136	95	-1	100	6	1	1	1	9500010
210010	墨分身	jineng62	以墨水作为媒介的分身术，永远找不到本尊在哪，较易释放	2	6	192;125	2	3	0	8	2	9;5.9	-1	40	40	40	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	143	100	48	34	-1	25	3	1	1	1	9210010
220010	豪水腕	jineng120	手臂特殊强化变得强壮，刀枪不入，较难释放	3	6	288;153	2	3	0	4	6	27;14.4	-1	25	25	25	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	267	186	90	63	-1	50	5	1	1	1	9220010
230010	人身冴功	jineng124	"将查克拉线连接在身上控制行动的忍术,较难释放"	4	6	432;158	2	3	1	9	0	48;17.6	-1	23	23	23	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	400	280	136	95	-1	100	6	1	1	1	9230010
200001	掷手里剑	jineng121	"丢出手里剑，击杀敌人,较易释放"	1	6	128;85	2	4	1	9	0	3;2	-1	40	40	40	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	119	83	40	28	-1	15	2	1	1	1	9200001
200003	查克拉刀	jineng6	能够与其查克拉融合的切刀。注入风遁力量时，可以轻易以刀贯穿石头，较难释放	1	6	128;49	2	4	1	9	0	6;2.3	-1	30	30	30	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	119	83	40	28	-1	15	2	1	1	1	9200003
230003	掌仙	jineng84	"按量不同让目标昏迷的医疗掌仙术,较难释放"	4	6	432;259	2	4	2	8	0	18;10.8	-1	23	23	23	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	400	280	136	95	-1	100	6	1	1	1	9230003
230006	三重罗生门	jineng147	"召唤出来的三个大门有着超高的防御力,较难释放"	4	6	432;284	2	4	2	8	0	12;7.9	-1	32	32	32	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	400	280	136	95	-1	100	6	1	1	1	9230006
230008	尾兽玉	500013	将查克拉压错聚集成球状，发射出去造成破坏，较易释放	4	6	432;318	2	4	2	8	0	8;5.9	-1	44	44	44	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	400	280	136	95	-1	100	6	1	1	1	9230008
900008	雷切	jineng38	此术曾斩断了天上的雷电，较易释放	3	6	288;141	2	4	1	9	0	10;4.9	-1	34	34	34	-1	-1	-1	0	0	0	2	attack	attack	0	1	attack	267	186	90	63	-1	50	5	1	1	1	9900008
500013	仙法螺旋丸	500013	仙人模式下的螺旋丸，更加强力，较难释放	4	6	432;267	2	4	4	6	0	11;6.8	-1	33	33	33	-1	-1	-1	0	0	0	0	attack	attack	0	2	attack	400	280	136	95	-1	100	6	1	1	1	9500013
500018	螺旋手里剑	500018	螺旋丸融合风遁形成的螺旋手里剑，较易释放	4	6	432;254	2	4	6	4	0	10;5.9	-1	34	34	34	-1	-1	-1	0	0	0	0	attack	attack	0	2	attack	400	280	136	95	-1	100	6	1	1	1	9500018
200000	纸手里剑	jineng56	"查克拉磨成的纸片化作斩空之刃！！ ,较易释放"	1	6	128;55	2	5	0	9	1	6;2.6	-1	38	38	38	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	119	83	40	28	-1	15	2	1	1	1	9200000
210009	土中潜航	jineng115	"查克拉将地下的固体沙石变成流体,使自己可以在地下土壤中快速游动。攻击出其不意，较难释放"	2	6	192;62	2	5	4	6	0	13;4.2	-1	33	33	33	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	143	100	48	34	-1	25	3	1	1	1	9210009
220004	大鲛弹之术	jineng112	"查克拉制造一只超大的鲨鱼型水弹攻击敌人，如果水弹受到物理攻击，则会瞬间吸光对方的查克拉,较难释放"	3	6	288;106	2	5	1	9	0	16;5.9	-1	33	33	33	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	267	186	90	63	-1	50	5	1	1	1	9220004
220005	镰鼬之舞	jineng74	将查克拉注入风中形成暴风进行刀砍式攻击，攻击范围广，持续时间长，破坏性强，较难释放	3	6	288;132	2	5	2	8	0	13;6	-1	33	33	33	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	267	186	90	63	-1	50	5	1	1	1	9220005
230001	水断波水遁	jineng64	从口中喷出急速的超高压细水柱攻击敌人，如同利刃一般，其威力和水压都极其强悍，极难释放	4	6	432;264	2	5	4	6	0	31;19	-1	15	15	15	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	400	280	136	95	-1	100	6	1	1	1	9230001
230004	治活再生	jineng83	"利用被施术者毛发等其他部位创造肉体的高难度医疗忍术,较难释放"	4	6	432;172	2	5	4	6	0	21;8.4	-1	30	30	30	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	400	280	136	95	-1	100	6	1	1	1	9230004
230005	乱身冲	jineng47	"用查克拉干扰神经系统形成混乱的忍术,极难释放"	4	6	432;302	2	5	4	6	0	28;19.6	-1	15	15	15	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	400	280	136	95	-1	100	6	1	1	1	9230005
230007	外道魔像	jineng142	召唤身为“尾兽容器”的“魔像”，让施术者与其同步加以控制。威力所向披靡，较难释放	4	6	432;316	2	5	4	6	0	15;11	-1	27	27	27	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	400	280	136	95	-1	100	6	1	1	1	9230007
230009	蛤蟆炎弹	jineng85	"在密闭的空间内,使用通灵之术,召唤妙木山岩宿蛤蟆的肠胃,其作用广泛,一是防御,二是困住对手,然后慢慢消化掉,较易释放"	4	6	432;314	2	5	4	6	0	11;8	-1	37	37	37	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	400	280	136	95	-1	100	6	1	1	1	9230009
800011	查克拉刀术	jineng149	"将查克拉覆满兵器，攻击敌人之术,较难释放"	3	6	288;117	2	5	1	9	0	15;6.1	-1	33	33	33	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	267	186	90	63	-1	50	5	1	1	1	9800011
500023	尾兽炮	500023	将查克拉压错聚集成球状，发射出去造成破坏，较难释放	4	6	432;269	2	5	4	6	0	17;10.6	-1	27	27	27	-1	-1	-1	0	0	0	2	attack	attack	0	1	attack	400	280	136	95	-1	100	6	1	1	1	9500023
300001	闪光十字斩	jineng6	以查克拉刀十字型斩，较难释放	1	6	128;115	3	1	3	0	7	2;1.8	-1	30	30	30	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	119	83	40	28	-1	15	2	1	1	1	9300001
310002	扦插之术	jineng60	生成木质长刺，进行穿刺攻击。数量根据使用者查克拉而定，较难释放	2	6	192;134	3	1	3	0	7	5;3.5	-1	22	22	22	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	143	100	48	34	-1	25	3	1	1	1	9310002
320004	组合变身	jineng100	与通灵兽组合变身，实力大幅提升的忍术，较易释放	3	6	288;252	3	1	3	0	7	4;3.5	-1	34	34	34	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	267	186	90	63	-1	50	5	1	1	1	9320004
330007	须佐能乎	jineng86	仙术血继限界，全身覆盖着咒印纹案，较难释放	4	6	432;249	3	1	3	0	7	10;5.8	-1	24	24	24	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	400	280	136	95	-1	100	6	1	1	1	9330007
330009	雷传	jineng109	"与一个影分身共同使用类似雷切的雷系忍术直接攻击敌人,较难释放"	4	6	432;193	2	1	3	7	0	24;8.5	-1	22	22	22	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	400	280	136	95	-1	100	6	1	1	1	9330009
500021	色诱术	jineng24	色诱术是鸣人自创的变身忍术，由施术者变成有云雾缭绕着的全裸美女，除了漂亮的脸蛋，最重要的是变化后的身体比例，较难释放	3	6	288;178	3	2	0	4	6	57;35.3	-1	20	20	20	-1	-1	-1	0	0	0	2	attack	attack	0	1	attack	267	186	90	63	-1	50	5	1	1	2	9500021
500022	后宫之术	500022	漩涡鸣人为了打败火影三代目而发明的，之后用此打败了惠比寿，惠比寿鼻血喷涌数十米，较难释放	4	6	432;160	3	3	0	2	8	45;16.7	-1	30	30	30	-1	-1	-1	0	0	0	2	attack	attack	0	1	attack	400	280	136	95	-1	100	6	1	1	2	9500022
310000	暗器针弹	jineng81	"涂有剧毒的毒针,乘其不备攻击目标,较易释放"	2	6	192;84	3	2	0	2	8	29;12.7	-1	35	35	35	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	143	100	48	34	-1	25	3	1	1	1	9310000
310001	水牢	jineng113	"以水困着敌方,令对方不能反击,较易释放"	2	6	192;74	3	2	0	3	7	27;10.5	-1	40	40	40	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	143	100	48	34	-1	25	3	1	1	1	9310001
310004	千手操武	jineng79	"一种攻击速度快、攻击范围广，且攻击力极强的一种傀儡机关术,较易释放"	2	6	192;79	3	2	3	0	7	21;8.7	-1	40	40	40	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	143	100	48	34	-1	25	3	1	1	1	9310004
310006	水阵柱	jineng111	放出一道竖起水墙来保护自己或其他目标，极易释放	2	6	192;111	3	2	3	0	7	10;5.8	-1	66	66	66	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	143	100	48	34	-1	25	3	1	1	1	9310006
310008	冰牙弹	jineng124	"这是运用由水中生出的水块，来给予敌人物理伤害的术,极易释放"	2	6	192;105	3	2	0	3	7	17;9.3	-1	50	50	50	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	143	100	48	34	-1	25	3	1	1	1	9310008
310009	岩击	jineng152	"像顽石一样击杀敌人,极易释放"	2	6	192;145	3	2	4	0	6	10;7.6	-1	50	50	50	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	143	100	48	34	-1	25	3	1	1	1	9310009
310010	蒸危爆威	jineng135	"无限爆破的忍术，一旦爆炸威力巨大，,极易释放"	2	6	192;61	3	2	0	3	7	25;8	-1	49	49	49	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	143	100	48	34	-1	25	3	1	1	1	9310010
310011	暴风乱舞	jineng141	火焰随以螺旋状打击很大范围内的敌人，而且火焰的扩散速度非常快，极易释放	2	6	192;111	3	2	3	0	7	10;5.8	-1	66	66	66	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	143	100	48	34	-1	25	3	1	1	1	9310011
320000	土陵团子	jineng142	"入地拔起一块巨型的团子状的岩石，攻击敌人,较难释放"	3	6	288;227	3	2	0	4	6	41;32.4	-1	23	23	23	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	267	186	90	63	-1	50	5	1	1	1	9320000
320001	蜃气楼	jineng92	"用幻术变出自己的一个影相，只要任何一样东西靠近影相，就会直接追击命中后并产生一座晶盾,极易释放"	3	6	288;134	3	2	4	0	6	18;8.4	-1	60	60	60	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	267	186	90	63	-1	50	5	1	1	1	9320001
320003	毒雾	jineng129	"从口中吐出毒气,攻击对手，极易释放"	3	6	288;106	3	2	0	2	8	38;14	-1	45	45	45	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	267	186	90	63	-1	50	5	1	1	1	9320003
320008	爆水冲波	jineng117	在无水的环境里创造一个巨大无比湖状水环境，较难释放	3	6	288;162	3	2	0	7	3	35;19.8	-1	33	33	33	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	267	186	90	63	-1	50	5	1	1	1	9320008
320011	水牙弹	jineng155	"召唤出由水凝聚成的尖牙,出其不意的攻击对手腿部,较易释放"	3	6	288;101	3	2	3	0	7	37;13	-1	38	38	38	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	267	186	90	63	-1	50	5	1	1	1	9320011
330003	手里剑影分身	jineng17	使抛出的手里剑无限分身，造成分身实体手里剑剑雨，较难释放	4	6	432;138	3	2	3	0	7	93;29.9	-1	24	24	24	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	400	280	136	95	-1	100	6	1	1	1	9330003
330004	镜面袭者	jineng130	"复制出与当时的撕符者拥有相同外表、能力的复制品,并对其展开攻击，较难释放"	4	6	432;228	3	2	0	0	10	77;40.7	-1	27	27	27	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	400	280	136	95	-1	100	6	1	1	1	9330004
330008	雷虎通杀	jineng148	"该术发动时是将查克拉集中在手心,形成雷切,并制造出“犬”状的雷电,可自由控制“犬”的距离和方向攻击目标，极难释放"	4	6	432;140	3	2	0	3	7	227;73.6	-1	12	12	12	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	400	280	136	95	-1	100	6	1	1	1	9330008
330012	飞雷神	jineng119	超强时空间忍术，利用术式达到瞬间移动和空间跳跃，来攻击敌人，较易释放	4	6	432;205	3	2	0	0	10	83;39.5	-1	32	32	32	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	400	280	136	95	-1	100	6	1	1	1	9330012
800021	火焰斩	jineng161	"凝聚火焰以刀，斩杀敌人,较难释放"	2	6	192;77	3	2	3	0	7	26;10.5	-1	33	33	33	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	143	100	48	34	-1	25	3	1	1	1	9800021
800022	里霞斩	jineng149	"云流·里斩的强化版,威力很强大!! ,较易释放"	2	6	192;100	3	2	0	3	7	22;11.5	-1	40	40	40	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	143	100	48	34	-1	25	3	1	1	1	9800022
800027	牙通牙	jineng59	兽人分身之后， 两个人快速的旋转，形成有如两个龙卷风的型态攻击对手，较难释放	2	6	192;138	3	2	3	0	7	17;12.3	-1	33	33	33	-1	-1	-1	0	0	0	0	attack	attack	1	1	attack	143	100	48	34	-1	25	3	1	1	1	9800027
300003	发破勒重死	jineng159	通过卷轴在周围形成的圈，通过刀上的引爆符，在圈内爆炸来攻击敌人，较难释放	1	6	128;72	3	3	3	0	7	8;4.5	-1	30	30	30	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	119	83	40	28	-1	15	2	1	1	1	9300003
310003	镰鼬	jineng74	"以旋风的姿态出现,用像镰刀一样锐利的袭击遇到的人,较难释放"	2	6	192;140	3	3	0	3	7	12;8.8	-1	30	30	30	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	143	100	48	34	-1	25	3	1	1	1	9310003
310005	操袭太刃	jineng56	"操纵数只苦无进行强力攻击的忍术,较难释放"	2	6	192;64	3	3	3	0	7	17;5.7	-1	30	30	30	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	143	100	48	34	-1	25	3	1	1	1	9310005
310007	破奔流	jineng125	在手中集中水，使用查克拉强力挤压，达到临界点喷薄而出的忍术，较难释放	2	6	192;155	3	3	3	0	7	9;7.3	-1	30	30	30	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	143	100	48	34	-1	25	3	1	1	1	9310007
320005	细患抽出	jineng84	感知体内混乱的查克拉，可以看出毒素，可医人亦可杀人，较难释放	3	6	288;131	3	3	3	0	7	26;11.9	-1	24	24	24	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	267	186	90	63	-1	50	5	1	1	1	9320005
330011	己生转生	jineng83	"以本身全部的查克拉作为媒介，把生命力分给受术者。该忍术可以对生者或者死者使用,极难释放"	4	6	432;286	3	3	0	4	6	78;51.8	-1	11	11	11	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	400	280	136	95	-1	100	6	1	1	1	9330011
300002	瞬身刃	jineng6	以查克拉进行的高速移动。由於移动速度极快，所以造成空间转移的错觉，较难释放	1	6	128;96	3	4	0	3	7	4;3	-1	33	33	33	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	119	83	40	28	-1	15	2	1	1	1	9300002
320002	斩斩舞	jineng117	"通灵兽镰多利在召唤的瞬间可以凭借忍者制造的飓风四处破坏,威力惊人,较易释放"	3	6	288;106	3	4	0	3	7	13;4.8	-1	38	38	38	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	267	186	90	63	-1	50	5	1	1	1	9320002
320006	土流大河	jineng115	"制造出大量的泥土,把对手卷走，较易释放"	3	6	288;102	3	4	3	0	7	11;3.9	-1	38	38	38	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	267	186	90	63	-1	50	5	1	1	1	9320006
320007	土流割	jineng162	"伸向地面,前方就会裂开的土遁忍术，较易释放"	3	6	288;179	3	4	0	3	7	9;5.6	-1	38	38	38	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	267	186	90	63	-1	50	5	1	1	1	9320007
330001	木龙之术	jineng66	"召唤一只大木龙，对敌人发起攻击,较难释放"	4	6	432;162	3	4	3	0	7	26;9.8	-1	23	23	23	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	400	280	136	95	-1	100	6	1	1	1	9330001
330005	漩涡封印术	fengyinshu	涡之传承：封印术，较难释放	4	6	432;379	3	4	4	0	6	9;7.9	-1	33	33	33	-1	-1	-1	0	0	0	2	attack	attack	0	1	attack	400	280	136	95	-1	100	6	1	1	1	9330005
330006	麒麟	jineng163	"利用查克拉制造雷云以飞快的速度将雷引向敌人，无法闪避且威力强大,较难释放"	4	6	432;311	3	4	2	0	8	14;10.1	-1	29	29	29	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	400	280	136	95	-1	100	6	1	1	1	9330006
330010	尸鬼封尽	jineng11	一种由牺牲自己性命，来永远封印住施术对象灵魂的极致封印术，较易释放	4	6	432;204	1	4	6	4	0	19;9	-1	35	35	35	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	400	280	136	95	-1	100	6	1	1	1	9330010
300000	爆炸符	jineng8	"丢出爆炸符，攻击敌人,较难释放"	1	6	128;102	3	5	3	0	7	4;3.2	-1	33	33	33	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	119	83	40	28	-1	15	2	1	1	1	9300000
320010	里莲华	jineng28	"在打开八门遁甲第三门“生门”之后，超过音速的速度高速打击对手，杀伤力极大,较难释放"	3	6	288;214	1	5	6	0	4	13;9.7	-1	24	24	24	-1	-1	-1	0	0	0	0	attack	attack	0	1	attack	267	186	90	63	-1	50	5	1	1	1	9320010
410000	消写颜	jineng129	大蛇丸最擅长的冷血化妆术	2	6	230;230	4	-1	-1	-1	-1	-1	baseShenFaPerAdd:0.01;0.01	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	attack	attack	1	1	attack	178	124	60	42	-1	25	4	1	1	1	9410000
410001	梦幻音锁	jineng130	"用声音制造幻术,中者在特殊的精神世界肉体会被融化"	2	6	230;95	4	-1	-1	-1	-1	-1	baseKangBaoAdd:5;2.08	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	attack	attack	1	1	attack	178	124	60	42	-1	25	4	1	1	1	9410001
410002	响鸣穿	jineng131	利用特殊的器具发出声音的忍术	2	6	230;101	4	-1	-1	-1	-1	-1	baseBaoJiAdd:6;2.64	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	attack	attack	1	1	attack	178	124	60	42	-1	25	4	1	1	1	9410002
410003	墨霞	jineng144	以包围自己的墨之雾隐藏其身	2	6	230;208	4	-1	-1	-1	-1	-1	baseKangBaoAdd:3;2.72	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	attack	attack	1	1	attack	178	124	60	42	-1	25	4	1	1	1	9410003
410004	青蛙变身	jineng133	把对方变成青蛙之术	2	6	230;230	4	-1	-1	-1	-1	-1	baseShenFaPerAdd:0.01;0.01	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	attack	attack	1	1	attack	178	124	60	42	-1	25	4	1	1	1	9410004
410005	影舞叶	jineng134	"狮子连弹的前身,把对方踢上半空,在给予对方重击"	2	6	230;82	4	-1	-1	-1	-1	-1	baseShanBiAdd:6;2.16	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	attack	attack	1	1	attack	178	124	60	42	-1	25	4	1	1	1	9410005
410006	狐狸心中	jineng135	"令人不断在同一处地方打转,走不出幻影的迷宫"	2	6	230;76	4	-1	-1	-1	-1	-1	baseFangYuPerAdd:0.03;0.01	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	attack	attack	1	1	attack	178	124	60	42	-1	25	4	1	1	1	9410006
410007	此处非	jineng137	令对手误认一处为另一处地方用的幻术	2	6	230;115	4	-1	-1	-1	-1	-1	baseWuLiPerAdd:0.02;0.01	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	attack	attack	1	1	attack	178	124	60	42	-1	25	4	1	1	1	9410007
410008	奈落见	jineng137	让对手看到心中不愿意看到的恐怖景象之幻术	2	6	230;198	4	-1	-1	-1	-1	-1	baseHuiXinAdd:4;3.44	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	attack	attack	1	1	attack	178	124	60	42	-1	25	4	1	1	1	9410008
410009	木人	jineng138	化身木人，能力大幅提升。	2	6	230;180	4	-1	-1	-1	-1	-1	baseMingZhongAdd:5;3.92	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	attack	attack	1	1	attack	178	124	60	42	-1	25	4	1	1	1	9410009
410010	风尘	jineng184	无限砂尘环绕整个战斗场地。	2	6	230;86	4	-1	-1	-1	-1	-1	baseMingZhongAdd:7;2.64	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	attack	attack	1	1	attack	178	124	60	42	-1	25	4	1	1	1	9410010
410011	石针	jineng180	 通过绳索传导查克拉以麻痹对手的忍术	2	6	230;221	4	-1	-1	-1	-1	-1	baseShanBiAdd:3;2.88	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	attack	attack	1	1	attack	178	124	60	42	-1	25	4	1	1	1	9410011
410012	四柱家	jineng141	创造一个内部构造也非常丰富的房屋	2	6	230;230	4	-1	-1	-1	-1	-1	baseNeiLiPerAdd:0.01;0.01	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	attack	attack	1	1	attack	178	124	60	42	-1	25	4	1	1	1	9410012
410013	木锭壁	jineng142	血继限界使用的防御系忍术，一排木柱从地上弯曲形成拱璧保护自己。	2	6	230;230	4	-1	-1	-1	-1	-1	baseHpPerAdd:0.01;0.01	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	attack	attack	1	1	attack	178	124	60	42	-1	25	4	1	1	1	9410013
410014	软体改造	jineng143	改造身体，使肉体变得坚韧	2	6	230;94	4	-1	-1	-1	-1	-1	baseHuiXinAdd:7;2.88	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	attack	attack	1	1	attack	178	124	60	42	-1	25	4	1	1	1	9410014
410015	网罗	jineng185	忍军中常用忍术，网住敌人，控制其移动。	2	6	230;230	4	-1	-1	-1	-1	-1	baseWuLiPerAdd:0.01;0.01	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	attack	attack	1	1	attack	178	124	60	42	-1	25	4	1	1	1	9410015
410016	砂金	jineng178	磁遁控制密度较大的砂金，拱卫自身	2	6	230;230	4	-1	-1	-1	-1	-1	baseFangYuPerAdd:0.02;0.02	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	attack	attack	1	1	attack	178	124	60	42	-1	25	4	1	1	1	9410016
410017	岩分身	jineng4	以岩为媒介的分身，提忍者抵挡攻击	2	6	230;230	4	-1	-1	-1	-1	-1	baseHpPerAdd:0.01;0.01	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	attack	attack	1	1	attack	178	124	60	42	-1	25	4	1	1	1	9410017
