弟子ID	弟子名	形象ID	描述	性别（1：男;2女）	属性偏向	弟子品质（1：丁;2：丙;3：乙;4：甲	天赋武学	初始气血	初始武功	初始内力	初始身法	初始防御	初始真气	气血成长	武功成长	内力成长	身法成长	防御成长	真气成长	招募所需魂魄数量	突破所需魂魄数量	初始命中	初始闪避	初始暴击	初始抗暴	初始会心	命中成长	闪避成长	暴击成长	抗暴成长	会心成长	招募转换魂魄数量	技能图片	身价	缘分ID	普通攻击效果	普通攻击帧频
10075	日向雏田	chutian	想着追上之后，能在什么时候一起散散步……总想着待在鸣人君的身边……是鸣人君改变了我！	2	6	3	130003	159	165	120	211	88	103	4.47	6.18	6.02	1.38	1.15	1.87	16	12;4	5	5	0	5	0	0	0	0	0	0	10	chutian	126;5.33	10039;10049;11063;13092;11104;13089	picture_8_ctpugong_shouji	8
10076	千代婆婆	qiandaipopo	"以前是砂忍的长老，超一流的傀儡师,后来和其弟弟海老藏隐居起来，不想再管风之国的事。"	2	6	3	900004	183	178	155	92	61	112	3.07	8.48	6.16	3.13	1.32	1.79	24	18;6	5	0	5	0	0	0	0	0	0	0	16	xie	126;5.33	10017;11064;11092;12020;13093;13021	picture_4_dupugong01_shouji	5
10077	多由也	duoyouye	音忍五人众之一，擅长通灵术和幻术，拥有能召唤“三鬼”的能力，特别是在于能用笛子吹奏乐曲迷惑敌人。	2	18	3	220001	215	123	242	108	71	95	6.45	5.95	4.33	1.9	1.69	1.48	16	12;4	0	0	0	0	10	0	0	0	0	0	10	moren2	126;5.33	10050;13001;11105;11106;12069;12068	picture_6_quanjiaopg04_shouji	12
10078	次郎坊	cilangfang	“音忍五人众”之一，平时老实谨慎，但在战斗中却变得狂妄轻敌，擅长土遁。可以吸收其他人的查克拉。	1	1	3	110010	185	106	139	123	61	98	4.72	4.05	6.2	4.73	0	1.46	16	12;4	0	4	6	0	0	0	0	0	0	0	10	moren1	126;5.33	10050;10086;11105;11106;12037;13001	picture_4_tupugong02_shouji	6
10079	宇智波富岳	shizhuang3	宇智波一族族长、木叶警务部队队长，也是宇智波一族叛变的策划人与领导者。	1	18	3	320011	212	122	238	106	71	113	9.71	7.45	3	4.68	0.88	1.78	16	12;4	5	0	0	0	10	0	0	0	0	0	10	xie	126;5.33	10058;10064;11045;11110;11099;12074	picture_6_huopg_shouji	12
10080	不知火玄间	shizhuang3	木叶特别上忍，担任中忍考试第三回合的主考官，自尊心极强。	1	6	3	120011	235	160	120	144	33	150	4.81	6.23	5.85	3.28	1.05	1.13	16	12;4	5	0	5	0	5	0	0	0	0	0	10	xie	126;5.33	10055;10057;10061;11045;11052;12073	picture_6_huopg_shouji	12
10081	黑锄雷牙	shizhuang4	雾忍者村的叛忍，“忍刀七人众”之一，使用雷刀“牙”作为武器。	1	3	3	300002	244	132	95	72	92	86	2.84	5.19	2.01	3.64	1.47	1.33	16	12;4	0	10	0	0	0	0	0	0	0	0	10	xie	126;5.33	10059;11059;11066;11106;12055;13032	picture_4_leipg_shouji	5
10082	鬼童丸	guitongwan	音忍五人众之一。有六只手，性格调皮，好玩。拥有自己的独特绝技，实力强劲，是大蛇丸的心腹。	1	5	3	410019	183	105	205	91	61	84	4.07	5.35	6.57	1.5	1.35	1.34	16	12;4	0	0	0	0	10	0	0	0	0	0	10	moren2	126;5.33	10050;11105;11065;11106;13001	picture_5_quanjiaopg03_shouji	10
10084	左近右近	shizhuang4	音忍五人众之一，主体是左近，平时让哥哥右近沉睡在自己体内。两兄弟脾气都很火爆，但相对来说哥哥聪明点。	1	32	3	230006	183	105	205	91	0	84	4.39	5.69	1.19	6.82	0	1.34	16	12;4	0	0	10	0	0	0	0	0	0	0	10	xie	126;5.33	10050;10079;11105;12068;12069;13001	picture_3_quanjiaopg01_shouji	6
10085	伊鲁卡	haiyeyiluka	木叶忍者学校的老师，因为认可与关爱才让鸣人没有走上歪路，与鸣人的关系比起兄弟更像父子。	1	26	3	200001	189	109	213	95	63	116	7.68	8.5	2.65	6.48	1.37	1.76	16	12;4	0	0	5	0	10	0	0	0	0	0	10	xie	126;5.33	10069;11063;11099;12004;13098	picture_6_daojianpg_shouji	12
10086	琳	xianglin	师从四代火影波风水门，拥有高超的医疗忍术。	2	7	3	230003	154	89	173	77	91	93	3.72	3.82	6.52	3.53	1.88	1.49	16	12;4	10	0	5	0	0	0	0	0	0	0	10	xie	126;5.33	10056;11092;11108;11052;12070;12020	picture_6_quanjiaopg04_shouji	12
10087	木叶丸	muyewan	木叶村第三代火影的孙子，师承鸣人，拥有鸣人特有的色诱术与螺旋丸，很顽皮，常常偷袭火影爷爷，希望可以成为第七代火影。	1	9	2	800003	277	159	312	139	92	98	9.14	6.04	3.13	0.92	1.21	1.46	20	15;5	0	0	10	0	0	0	0	0	0	0	13	xie	80;4.02	10068;11043;11076;13171	picture_4_fengpg01_shouji	8
10088	马基	maji	我爱罗，手鞠，勘九郎的导师，深受风影的信赖，有丰富的领导才能，是砂忍不可或缺的一员大将。	1	28	3	130001	154	88	76	77	120	93	3.65	4.1	3.85	5.68	2.38	1.49	16	12;4	0	0	0	0	10	0	0	0	0	0	10	xie	126;5.33	10015;10055;10089;10078;11062	picture_4_fengpg02_shouji	8
10090	林檎雨由利	shizhuang3	雾忍者村前代“忍刀七人众”之一，雷刀“牙”的使用者。	1	8	1	800016	131	75	98	87	43	66	4.71	1.35	2.94	1.03	1.05	0.66	2	2;1	0	0	0	0	10	0	0	0	0	0	2	linqingyuyouli	50;3.02	10031;11059;11066	picture_6_daojianpg_shouji	12
10091	阿斯玛	yuanfeiasima	负责保护火之国大名的十二位精英忍者之一。名叫“守护忍十二士”	1	10	2	200003	171	98	128	0	57	96	4.55	2.62	5.96	0	2.25	1.19	8	6;2	0	0	0	0	10	0	0	0	0	0	4	asima	80;4.02	10063;11052	picture_4_fengpg02_shouji	8
10092	成马	shizhuang2	负责保护火之国大名的十二位精英忍者之一。名叫“守护忍十二士”	1	11	1	300001	97	56	73	65	32	71	3.07	2.19	0.64	4.03	1.5	0.75	2	2;1	0	10	0	0	0	0	0	0	0	0	2	moren1	50;3.02	10063;12055	picture_4_leipg_shouji	8
10093	北根	shizhuang1	负责保护火之国大名的十二位精英忍者之一。名叫“守护忍十二士”	1	12	1	100001	98	56	73	65	32	71	3.82	3.2	2.18	1.35	1.28	0.75	2	2;1	0	0	0	10	0	0	0	0	0	0	2	moren2	50;3.02	10063;11053;12055	picture_4_leipg_shouji	8
10094	和马	shizhuang3	负责保护火之国大名的十二位精英忍者之一。名叫“守护忍十二士”	1	13	1	420015	98	56	73	65	32	71	3.82	2.7	2.21	2.55	0.96	0.75	2	2;1	0	0	0	10	0	0	0	0	0	0	2	moren1	50;3.02	10063;11106;12018	picture_4_tupugong02_shouji	6
10095	地陆	shizhuang2	负责保护火之国大名的十二位精英忍者之一。名叫“守护忍十二士”	1	14	1	100003	98	56	73	65	32	71	3.03	2.57	3.38	2.01	0.99	0.75	2	2;1	0	10	0	0	0	0	0	0	0	0	2	moren2	50;3.02	10063;11104	picture_3_quanjiaopg01_shouji	6
10096	阵雨	shizhuang2	负责保护火之国大名的十二位精英忍者之一。名叫“守护忍十二士”	1	15	1	310009	96	55	72	64	32	63	3.74	3.14	0.18	3.62	0.36	0.68	2	2;1	10	0	0	0	0	0	0	0	0	0	2	moren1	50;3.02	10063;11053;12055	picture_4_leipg_shouji	8
10097	星斗	shizhuang3	负责保护火之国大名的十二位精英忍者之一。名叫“守护忍十二士”	1	1	1	300000	113	65	85	75	37	71	3.88	1.32	2.33	3.58	1.03	0.75	2	2;1	0	0	5	0	5	0	0	0	0	0	2	moren2	50;3.02	10063;12055	picture_4_leipg_shouji	8
10098	加藤断	shizhuang1	木叶村的上忍，纲手年轻时的恋人。	1	2	1	800017	99	57	74	66	33	58	2.99	2.57	1.17	1.5	0.99	0.59	2	2;1	0	10	0	0	0	0	0	0	0	0	2	jiatengduan	50;3.02	10064;11045;11037	picture_4_dupugong02_shouji	5
10099	山城青叶	shizhuang3	木叶忍者村的特别上忍，擅长火遁，实力出众。经常完成重要任务。	1	3	1	110000	99	57	74	66	33	65	3.43	2.44	3.18	1.19	0.86	0.67	2	2;1	0	0	0	0	10	0	0	0	0	0	2	shanchengqingye	50;3.02	10064;11104;11053	picture_6_huopg_shouji	12
10100	旗木朔茂	shizhuang3	旗木卡卡西之父，人称“木叶白牙”。	1	4	1	200002	99	57	74	66	33	72	3.69	2.13	3.4	2.45	0.92	0.74	2	2;1	5	5	0	0	0	0	0	0	0	0	2	qimushushuo	50;3.02	10064;11037	picture_6_daojianpg_shouji	12
10101	夜叉丸	shizhuang4	每个人活下去的过程中多少都会伤害别人，也会被别人伤害，人是无法轻易地去讨厌其他人的。	1	5	1	800018	129	74	97	86	43	72	4.82	2.77	2.41	1.06	1.05	0.74	2	2;1	0	5	0	5	0	0	0	0	0	0	2	yechawan	50;3.02	10064;11065	picture_4_quanjiaopg02_shouji	8
10102	千手瓦间	shizhuang3	千手柱间的弟弟，早年死于宇智波一族的战争。	1	8	2	800020	187	107	140	124	62	93	6.18	3.54	3.05	2.02	1.34	1.21	8	6;2	0	0	0	10	0	0	0	0	0	0	4	yuzhibo	80;4.02	10065;11106	picture_4_shuipg_shouji	8
10103	千手绳树	shizhuang2	千手纲手的弟弟，早年死于战乱。	1	9	2	310002	165	95	0	110	55	84	5.35	2.45	0	6.42	1.07	1.11	7	5;2	0	10	0	0	0	0	0	0	0	0	3	qianshoushenshu	80;4.02	10065;12056	picture_4_shuipg_shouji	8
10104	阿赤伊	shizhuang1	雷之国云隐村萨姆依小队成员之一。萨姆伊的弟弟，时不时就叫：好热！好热！好热！	1	10	2	800021	123	71	92	82	41	85	2.97	3.86	2.91	3.86	1.28	1.1	8	6;2	0	0	0	0	10	0	0	0	0	0	4	achiyi	80;4.02	10066;11057	picture_6_huopg_shouji	12
10105	卡茹伊	shizhuang3	雷之国云隐村萨姆依小队队员之一。为忍者联合军第二部队的队员，有点暴力，比较乐观，经常与奥摩伊抬杠。	2	21	2	410007	232	133	174	154	77	85	6.62	2.78	2.27	0.82	1.31	1.1	7	5;2	0	0	10	0	0	0	0	0	0	0	3	karuyi	80;4.02	10066;11057;11053	picture_6_daojianpg_shouji	12
10106	奥摩伊	shizhuang2	雷之国云隐村萨姆依小队队员之一。头脑灵活，喜欢谨慎的思考，总是碎碎念，杞人忧天。	1	12	2	800022	122	70	0	81	40	84	3.7	4.06	0	6.94	0.85	1.11	7	5;2	0	10	0	0	0	0	0	0	0	0	3	aomoyi	80;4.02	10066;11057	picture_4_leipg_shouji	8
10107	地狱道	changmen	所谓战争…就一定伴随着双方的死亡伤病和痛苦…	1	1	2	210007	187	107	140	124	62	84	5.21	2.97	5.25	2.24	0.52	1.11	8	6;2	0	0	1	0	9	0	0	0	0	0	4	changmen	80;4.02	10062;11042;13173	picture_4_dupugong02_shouji	5
10108	天道	tiandao	原为长门的同伴弥彦。被山椒鱼半藏逼死后制作为佩恩天道。	1	1	2	130008	143	82	107	95	47	67	3.28	1.87	3.1	1.64	1.09	0.89	6	5;2	0	0	0	0	10	0	0	0	0	0	3	tiandao	80;4.02	10043;10062;10090;11049	picture_6_huopg_shouji	12
10109	人间道	renjiandao1	原为泷隐忍者，自来也在酒馆遇到。	1	1	2	800023	98	56	73	65	32	64	3.35	1	3.72	1.16	1.65	0.67	2	2;1	0	0	0	0	10	0	0	0	0	0	2	renjiandao	80;4.02	10062;10090;11049	picture_4_dupugong02_shouji	5
10110	修罗道	xiuluodao	原为傀儡师，自来也曾遇到过。	1	1	2	800024	145	83	109	97	48	86	4.06	2.91	3.78	2.03	1.33	1.09	7	5;2	0	0	0	0	10	0	0	0	0	0	3	xiuluodao	80;4.02	10062;11049	picture_6_huopg_shouji	12
10111	畜生道	chushengdao	原为风魔一族的忍者，生前被自来也用苦无在其额头上划了一道伤痕，护额掉落时发现。	1	5	2	110005	164	94	123	109	54	84	4.66	3.75	3.47	3.09	1.23	1.11	8	6;2	10	0	0	0	0	0	0	0	0	0	4	chushengdao	80;4.02	10062;11049	picture_4_shuipg_shouji	8
10112	饿鬼道	eguidao	原为草隐忍者，自来也在酒馆同人间道同时遇到。	1	16	2	800025	186	107	139	124	62	84	6.44	1.81	4	1.39	1.06	1.11	7	5;2	4	0	3	0	3	0	0	0	0	0	3	eguidao	80;4.02	10062;11034;10080;11049	picture_4_dupugong03_shouji	5
10113	地狱道	diyudao	原为不知名宗教领袖，自来也曾遇到。	1	1	1	800026	113	65	85	75	37	64	4.07	1.42	3.65	1.64	0.81	0.67	2	2;1	0	0	0	0	10	0	0	0	0	0	2	diyudao	50;3.02	10062;11049;11053	picture_4_dupugong02_shouji	5
10114	黄土	shizhuang3	岩忍者村的忍者，第三代土影大野木的儿子，黑土的父亲。	1	1	2	420015	210	121	157	140	70	77	4.09	2.35	4.11	1.38	0.91	0.99	7	5;2	0	0	0	0	10	0	0	0	0	0	3	huangtu	80;4.02	10067;10054;11078	picture_4_tupugong02_shouji	6
10115	日向花火	shizhuang4	日向家族宗家二小姐，日向雏田的妹妹。一个自尊心强、不甘服输的可爱女孩。	2	5	2	500019	142	81	106	95	47	92	4.61	3.89	3.45	3.05	1.15	1.22	8	6;2	4	0	2	0	4	0	0	0	0	0	4	rixianghuahuo	80;4.02	10067;10091;12048	picture_4_quanjiaopg02_shouji	8
10117	兰丸	shizhuang4	血继限界红眼的拥有者，为白眼的天敌。可以透视物体，感知力量，察觉危险。被忍刀七人众的雷牙所接受，二人相依为命。	1	3	1	100001	111	63	83	74	37	70	3.92	3.6	1.21	1.08	1.31	0.75	2	2;1	0	0	7	0	3	0	0	0	0	0	2	lanwan	50;3.02	10059;11053	picture_4_dupugong03_shouji	5
10118	小樱	xiaoying	女孩子不够坚强的话，是不能够活下去的啊。	2	6	3	800005	255	150	122	50	122	122	4.81	6.07	5.86	5.1	0.3	1.75	16	12;4	5	0	5	0	5	0	0	0	0	0	10	xiaoyin	126;5.33	10008;10088;11092;11108;12020;10077	picture_6_xiaoyingpugong_shouji	8
10119	香磷	xianglin	优秀的感知忍者，对于佐助抱有特殊的好感。	2	24	3	500025	215	88	121	180	51	85	4.02	2.7	5.05	7.22	1.31	1.11	18	12;4	0	0	10	0	0	0	0	0	0	0	10	xie	126;5.33	10010;13132;13133;13134;13135	picture_6_xiaoyingpugong_shouji	10
10120	少年佐助	zuozhu	背负了无尽的诅咒，仍然一直向着自己的目标前行。	1	6	4	110000	240	229	229	381	106	109	4.65	7.41	2.76	8.81	1.09	1.83	20	15;6	0	0	15	0	20	0	0	0	0	0	13	zuozhu	189;6.42	13141;10008;13140;13139;10013;13142	picture_4_leipg_shouji	8
10121	宇智波止水	yuzhibozhishui	出身名门，继承火之意志与父辈的精神，为守护村子倾尽生命的男人。	1	10	4	800002	155	210	309	155	0	101	4.02	7.1	7.65	5.01	0.13	1.88	20	15;5	0	0	0	0	15	0	0	0	0	0	10	yuzhibo	189;6.42	13136;13137;10071;13138;13145;13146	picture_6_xiaoyingpugong_shouji	9
10122	女神雏田	chengnianchutian	将清澄的心转化成了力量，变得更加强大。	2	3	4	500026	189	200	80	190	82	97	4.31	7.99	3	5.78	0.21	1.07	23	17;6	0	0	0	0	10	0	0	0	0	0	15	chutian	189;6.42	13148;13152;13089;11063;13153	picture_8_ctpugong_shouji	8
10123	三代雷影	sandaileiying	四代雷影之父，曾以一己之力单挑一万名忍者。	1	21	4	500027	595	175	0	50	122	93	14.3	8.15	0	5.26	1.88	1.49	32	24;8	0	0	0	15	0	0	0	0	0	0	16	moren	189;6.42	13154;13155;13156;13209;13158;13159	picture_4_leipg_shouji	8
10124	萨克	sake	大蛇丸的手下，为人骄傲自大，被大蛇丸当成棋子利用。	1	3	1	100002	95	120	85	75	37	50	4.07	4.42	1.65	1.64	0.9	0.7	2	2;1	0	5	0	0	10	0	0	0	0	0	2	moren	50;3.02	13164;13167;11060	picture_4_leipg_shouji	8
10125	托斯	tuosi	大蛇丸的手下，为人工于心计，善于利用声音麻痹对手。	1	1	1	410002	113	35	85	110	40	74	4.07	1.42	3.65	1.64	0.2	0.67	2	2;1	0	0	0	5	10	0	0	0	0	0	2	moren	50;3.02	13164;13165;11060	picture_4_leipg_shouji	8
10126	金	jin	大蛇丸的手下，善于利用铃铛迷惑对手，借机发动飞针攻击。	2	2	1	310000	124	65	40	75	120	64	3.85	2.2	1.21	3.5	0.75	1.09	2	2;1	0	0	0	0	0	0	0	0	0	0	2	moren	50;3.02	13164;13166;11060	picture_4_leipg_shouji	8
10127	森乃伊比喜	sennaiyibixi	以拷问的能力著称，深受大家信任的可靠忍者。	1	9	2	100002	95	81	90	112	48	86	4.06	2.91	3.78	2.03	3.4	1.21	7	5;2	0	0	0	0	0	0	0	0	0	0	4	moren	80;4.02	13168;13169;13170;11067	picture_6_huopg_shouji	12
10128	惠比寿	huibishou	木叶丸的家庭教师，曾经败于鸣人的后宫之术。	1	1	3	110001	185	106	174	93	61	98	4.22	4.05	6.2	2.73	2.2	1.26	16	12;4	0	5	5	0	0	0	0	0	0	0	10	moren	126;5.33	13129;13171;13172;13173;13174	picture_4_tupugong02_shouji	6
10129	水木	renzhe	作为第一个被打倒的反派，还是在这里有一席之地的。	1	3	1	800019	113	85	45	80	36	40	3.07	3.42	2.65	1.64	1.2	0.77	2	2;1	0	0	5	5	0	0	0	0	0	0	2	moren	50;3.02	13098;13175;13176	picture_4_leipg_shouji	8
10130	大筒木辉夜	huiye	忍界创世之神，为了胜利偷食了神树的果实，获得查克拉平息了战乱，由于自负与危险被自己的两个孩子联手封印。	2	17	4	500012	270	274	200	220	95	40	8.22	9.07	4.25	7.7	3.49	3.49	38	2;1	20	30	25	15	0	0	0	0	0	0	22	moren	189;6.42	13190;13191;13192;12005;13210;13211	picture_6_huopg_shouji	12
10132	二代土影	erdaituying	名字叫做无，拥有血继淘汰尘遁，如其名字，身上布满绷带，无法看清面目。	1	5	4	430016	212	241	77	155	102	107	4.31	6.95	7.78	4.56	0.75	1.07	23	17;6	20	0	0	0	10	0	0	0	0	0	15	moren	189;6.42	13205;13209;13212;13213;12003;13214	picture_7_woailuopugong_shouji	9
10133	二代水影	erdaishuiying	你们值得我的称赞，但是连我都无法战胜的话，就更别想战胜斑了！	1	9	4	500039	260	289	62	189	50	99	5.53	8.02	4.58	6.88	1.05	1.12	23	17;6	25	0	25	0	0	0	0	0	0	0	15	moren	189;6.42	13205;13075;13209;13208;11015;13216	picture_4_shuipg_shouji	8
10134	四代风影	sidaifengying	我爱罗的父亲，在秽土转生之后，我爱罗令他意识到，真正令我爱罗变强的不是守鹤的力量，最终得到我爱罗的原谅，灵魂升天。	1	1	4	500038	287	177	309	103	69	103	6.68	6.18	8.99	5.5	1.32	1.87	23	17;6	0	0	15	0	30	0	0	0	0	0	15	moren	189;6.42	13204;13209;13215;13217;13218;13219	picture_7_woailuopugong_shouji	9
10135	三船	sanchuan	人结束的时候并不是要死的时候，而是信念丧失殆尽的时候。	1	3	4	500033	240	220	87	205	82	110	5.31	9.33	3.2	8.48	0.21	2.04	32	18;6	20	0	20	0	50	0	0	0	0	0	23	moren	189;6.42	13179;13184;13185;13186;13188;13187	picture_4_shuipg_shouji	8
10138	神威卡卡西	shenweikakaxi	话说这么多年了，有谁知道卡卡西面具下面是什么样子的？	1	6	4	500035	148	301	277	65	75	200	6.07	8.85	7.02	6.24	1.3	1.86	36	18;6	0	0	25	25	10	0	0	0	0	0	22	moren	189;6.42	13200;13202;13197;13207;13220;13221	picture_4_leipg_shouji	8
10139	风影我爱罗	fengyingwoailuo	在成长的力量并非属于守鹤，而是属于我爱罗自己的力量。	1	5	4	500036	239	264	264	133	71	126	5.05	8.2	9.9	5.72	1.03	1.97	36	24;8	0	0	20	10	35	0	0	0	0	0	22	moren	189;6.42	13204;13205;13206;13222;13221;12009	picture_7_woailuopugong_shouji	9
10140	六道斑	liudaoban	或许手段不被人接收，但是没人能否认斑的目的是正义的。	1	6	4	500012	200	274	396	155	0	110	5.85	9.05	7.65	6.52	0.72	2.01	36	18;6	15	0	40	0	25	0	0	0	0	0	22	moren	189;6.42	13192;13201;13200;13151;13150;13223	picture_4_fengpg02_shouji	8
10141	六道带土	liudaodaitu	进入六道模式的带土，化身十尾人柱力，无人能敌。	1	31	4	500012	195	255	208	266	105	100	6.79	8.89	6.55	7.82	1.02	1.94	36	18;6	25	0	25	0	25	0	0	0	0	0	22	moren	189;6.42	13192;13197;13203;13193;13151;13150	picture_4_fengpg02_shouji	8
10142	大蛇兜	dou	不仅仅继承了大蛇的力量，还继承了大蛇的生存之道，但是兜或许更加幸运，最终找回了真正的自己。	1	5	4	500037	321	199	395	223	80	102	7.31	8.05	10.77	5.24	0.69	1.85	36	18;6	0	0	50	0	15	0	0	0	0	0	22	moren	189;6.42	13193;13198;13199;13224;13225;13226	picture_4_fengpg01_shouji	8
10143	月之眼带土	mianjudaitu	在斑的引导下，带土终于走上了黑暗之路，但是他在生命最终的时刻贯彻了自己的忍道。	1	11	4	500029	392	110	415	90	201	125	9.9	2.09	11.1	2.45	2.98	1.83	26	17;6	0	40	0	30	15	0	0	0	0	0	22	moren	189;6.42	13248;13193;13227;13228;13229;13230	picture_4_fengpg02_shouji	8
10144	少年带土	yuzhibodaitu	我说过鸣人会成为火影，但是他是七代目火影，所以你来成为六代目火影吧，卡卡西。	1	9	4	800030	193	287	108	204	121	107	4.93	8.9	2.22	8.41	0.98	1.54	32	17;6	20	10	20	0	0	0	0	0	0	0	22	moren	189;6.42	13195;13231;13232;13234;13235;13237	picture_4_leipg_shouji	8
10137	少年卡卡西	shaoniankakaxi	卡卡西一直承受着内心的痛苦，但是最终他会用这双带土赠与他的眼睛看到未来。	1	9	4	500034	281	284	75	185	66	99	4.93	9.24	4.5	7.52	0.87	1.72	32	18;6	25	0	30	0	25	0	0	0	0	0	22	moren	189;6.42	13195;13231;13232;13233;13236;13238	picture_4_leipg_shouji	8
10131	药师兜	dou2	千变万化的忍术也无法告诉我我生存的意义何在。	1	1	3	230003	185	126	174	122	55	98	4.22	5.65	6.72	4.73	1.2	1.75	16	12;4	5	5	10	0	5	0	0	0	0	0	10	moren	126;5.33	13241;13245;13246;11060;13247	picture_4_fengpg01_shouji	8
10136	大和	dahe	面具之内平静自若，此身秘术独一无二。	1	1	4	420005	187	177	266	138	69	103	5.24	6.18	8.17	4.45	1.02	1.87	20	15;5	0	0	10	0	10	0	0	0	0	0	15	moren	189;6.42	13242;10051;13243;13181;11093;13244	picture_3_quanjiaopg01_shouji	6
10116	红莲	honglian	大蛇丸所领导的音忍的一员，晶遁血继限界的拥有者。后和幽鬼丸之间产生了感情，决定誓死照顾幽鬼丸。	2	6	3	500040	174	100	131	116	58	72	5.73	5.91	6.23	3.53	1.21	1.22	16	12;4	0	0	0	10	0	0	0	0	0	0	10	honglian	126;5.33	10067;13239;13240;13241;11060	picture_6_quanjiaopg04_shouji	12
10083	月光疾风 	yueguangjifeng	中忍考试正赛预选的考官，经常咳嗽像个病人似的，有点严重的黑眼圈，脸色苍白，是木叶忍村中一个特别的忍者。	1	5	4	230011	50	276	165	155	121	109	4.87	6.89	7.82	4.3	1.26	1.75	20	15;5	0	5	5	0	5	0	0	0	0	0	15	moren	189;6.42	10061;10078;11019;13180;13181	picture_6_daojianpg_shouji	12
