编号	起始名次	结束名次	元神	银两	铜宝箱	银宝箱	金宝箱	上古宝盒	10分钟声望	奖励道具
345	40001	40200	1724	53200	0	0	0	0	133	13000008_1724;13000002_53200
346	40201	40400	1724	53200	0	0	0	0	133	13000008_1724;13000002_53200
347	40401	40600	1711	52800	0	0	0	0	132	13000008_1711;13000002_52800
348	40601	40800	1698	52400	0	0	0	0	131	13000008_1698;13000002_52400
349	40801	41000	1698	52400	0	0	0	0	131	13000008_1698;13000002_52400
350	41001	41200	1685	52000	0	0	0	0	130	13000008_1685;13000002_52000
351	41201	41400	1672	51600	0	0	0	0	129	13000008_1672;13000002_51600
352	41401	41600	1672	51600	0	0	0	0	129	13000008_1672;13000002_51600
353	41601	41800	1659	51200	0	0	0	0	128	13000008_1659;13000002_51200
354	41801	42000	1646	50800	0	0	0	0	127	13000008_1646;13000002_50800
355	42001	42200	1646	50800	0	0	0	0	127	13000008_1646;13000002_50800
356	42201	42400	1633	50400	0	0	0	0	126	13000008_1633;13000002_50400
357	42401	42600	1620	50000	0	0	0	0	125	13000008_1620;13000002_50000
358	42601	42800	1620	50000	0	0	0	0	125	13000008_1620;13000002_50000
359	42801	43000	1607	49600	0	0	0	0	124	13000008_1607;13000002_49600
360	43001	43200	1594	49200	0	0	0	0	123	13000008_1594;13000002_49200
361	43201	43400	1594	49200	0	0	0	0	123	13000008_1594;13000002_49200
362	43401	43600	1581	48800	0	0	0	0	122	13000008_1581;13000002_48800
363	43601	43800	1568	48400	0	0	0	0	121	13000008_1568;13000002_48400
364	43801	44000	1568	48400	0	0	0	0	121	13000008_1568;13000002_48400
365	44001	44200	1555	48000	0	0	0	0	120	13000008_1555;13000002_48000
366	44201	44400	1542	47600	0	0	0	0	119	13000008_1542;13000002_47600
367	44401	44600	1542	47600	0	0	0	0	119	13000008_1542;13000002_47600
368	44601	44800	1529	47200	0	0	0	0	118	13000008_1529;13000002_47200
369	44801	45000	1516	46800	0	0	0	0	117	13000008_1516;13000002_46800
370	45001	45200	1516	46800	0	0	0	0	117	13000008_1516;13000002_46800
371	45201	45400	1503	46400	0	0	0	0	116	13000008_1503;13000002_46400
372	45401	45600	1490	46000	0	0	0	0	115	13000008_1490;13000002_46000
373	45601	45800	1490	46000	0	0	0	0	115	13000008_1490;13000002_46000
374	45801	46000	1477	45600	0	0	0	0	114	13000008_1477;13000002_45600
375	46001	46200	1464	45200	0	0	0	0	113	13000008_1464;13000002_45200
376	46201	46400	1464	45200	0	0	0	0	113	13000008_1464;13000002_45200
377	46401	46600	1452	44800	0	0	0	0	112	13000008_1452;13000002_44800
378	46601	46800	1439	44400	0	0	0	0	111	13000008_1439;13000002_44400
379	46801	47000	1439	44400	0	0	0	0	111	13000008_1439;13000002_44400
380	47001	47200	1426	44000	0	0	0	0	110	13000008_1426;13000002_44000
381	47201	47400	1413	43600	0	0	0	0	109	13000008_1413;13000002_43600
382	47401	47600	1413	43600	0	0	0	0	109	13000008_1413;13000002_43600
383	47601	47800	1400	43200	0	0	0	0	108	13000008_1400;13000002_43200
384	47801	48000	1387	42800	0	0	0	0	107	13000008_1387;13000002_42800
385	48001	48200	1387	42800	0	0	0	0	107	13000008_1387;13000002_42800
386	48201	48400	1374	42400	0	0	0	0	106	13000008_1374;13000002_42400
387	48401	48600	1361	42000	0	0	0	0	105	13000008_1361;13000002_42000
388	48601	48800	1361	42000	0	0	0	0	105	13000008_1361;13000002_42000
389	48801	49000	1348	41600	0	0	0	0	104	13000008_1348;13000002_41600
390	49001	49200	1335	41200	0	0	0	0	103	13000008_1335;13000002_41200
391	49201	49400	1335	41200	0	0	0	0	103	13000008_1335;13000002_41200
392	49401	49600	1322	40800	0	0	0	0	102	13000008_1322;13000002_40800
393	49601	49800	1309	40400	0	0	0	0	101	13000008_1309;13000002_40400
394	49801	49999	1309	40400	0	0	0	0	101	13000008_1309;13000002_40400
395	50000	1000000	1296	40000	0	0	0	0	100	13000008_1296;13000002_40000
